gender,uti_ratio,limit,mortgage_payment,n_overdue,n_cards,overdue
M,1.01,1000,0,0,4,0
M,1,1000,0,2,5,0
M,1.01,1000,0,6,2,1
M,1,1000,0,4,15,1
M,0.98,1000,0,8,1,0
M,1,1000,0,7,2,1
M,1,1000,0,5,2,1
M,0.43,1000,0,0,2,1
M,0.2,1000,0,0,7,0
M,0.99,1000,0,6,1,1
M,0.99,1000,2006,1,7,0
M,0.99,1000,0,0,10,0
M,0,1000,0,0,0,0
M,0.4,1000,0,3,4,0
M,0.19,1000,0,0,1,0
M,1,1000,1040,3,13,0
M,1.01,1000,0,1,1,0
M,0.6,1000,0,4,4,0
M,0,1000,0,0,3,0
M,1,1000,686,0,12,0
M,1.01,1000,0,0,10,0
M,1.02,1000,0,2,2,0
M,1.03,1000,0,0,5,1
M,0.99,1000,0,4,4,0
M,1.01,1000,0,6,4,0
M,1,1000,0,1,5,0
M,1.45,1000,0,3,4,0
M,1.01,1000,0,0,18,1
M,0.74,1000,0,2,3,1
M,1.5,1000,0,0,19,1
M,0.52,1000,0,3,0,1
M,0.98,1000,0,1,13,0
M,1.5,1000,0,0,40,0
M,4.43,1000,0,0,4,0
M,1.02,1000,0,5,0,0
M,1.15,1000,1014,1,12,1
M,1.01,1000,0,3,3,0
M,0.99,1000,0,1,1,0
M,0.07,1000,0,0,4,0
M,1.19,1000,232,0,10,0
M,0.53,1000,0,3,1,0
M,1.01,1000,1099,0,12,0
M,0.16,1000,0,0,2,0
M,1.05,1000,1762,3,8,1
M,0.91,1000,0,1,15,0
M,0.89,1000,0,1,6,0
M,0,1000,0,0,0,0
M,0.99,1000,0,0,3,1
M,0,1000,0,0,3,0
M,0.98,1000,0,0,8,1
M,0.74,1000,0,2,6,1
M,0.86,1000,0,5,3,1
M,0.99,1000,0,2,7,0
M,1,1000,1089,2,4,0
M,0.48,1000,0,0,0,0
M,0.22,1000,0,1,1,0
M,1,1000,0,0,6,0
M,5,1000,0,0,4,1
M,0.99,1000,3633,0,15,1
M,0.93,1000,0,1,4,1
M,1.32,1000,0,2,11,1
M,0.9,1000,9579,0,31,0
M,0.98,1000,0,1,10,1
M,0.34,1000,0,8,12,0
M,1,1000,0,2,2,0
M,0,1000,0,0,1,0
M,1,1000,5824,0,6,0
M,0,1000,0,0,2,0
M,0.98,1000,0,0,13,1
M,0.03,1000,0,0,1,0
M,1.02,1000,0,3,1,1
M,1,1000,0,2,4,1
M,1,1000,2866,0,25,0
M,0.51,1000,2469,0,5,0
M,0.81,1000,2965,0,23,0
M,0.05,1000,0,0,0,0
M,1,1000,0,0,9,0
M,0.26,1000,0,4,4,0
M,0.81,1000,0,3,2,0
M,1.62,1000,0,0,24,0
M,1,1000,0,0,8,1
M,1.09,1000,0,1,28,1
M,0.62,1000,0,1,13,1
M,0.57,1000,0,3,2,1
M,1,1000,1323,0,5,0
M,1,1000,2132,1,7,0
M,0.32,1000,0,5,16,0
M,0.17,1000,0,0,6,0
M,0.08,1000,0,0,3,0
M,5,1000,1673,0,4,0
M,0.76,1000,0,9,0,0
M,1.02,1000,0,7,4,0
M,0.99,1000,0,0,9,0
M,0.98,1000,0,0,18,1
M,0.52,1000,0,0,2,0
M,0.62,1000,0,0,2,0
M,1.09,1000,0,1,6,1
M,1.01,1000,0,0,9,0
M,0,1000,0,0,6,0
M,0.08,1000,0,0,5,0
M,1.05,1000,0,0,13,1
M,0.89,1000,0,1,9,0
M,0.98,1000,0,0,7,0
M,1.3,1000,0,0,16,1
M,0.63,1000,0,8,0,0
M,0.13,1000,0,1,1,1
M,0.2,1000,0,0,5,0
M,0.85,1000,0,20,0,1
M,0,1000,0,0,1,0
M,0.7,1000,0,0,0,0
M,1.25,1000,0,3,0,0
M,1,1000,2546,1,14,0
M,1.21,1000,0,1,27,1
M,1.02,1000,0,2,6,0
M,0.45,1000,0,2,11,0
M,0.05,1000,1335,0,0,0
M,4.26,1000,0,3,12,0
M,0.88,1000,0,0,1,0
M,0,1000,0,0,2,0
M,1.03,1000,0,2,11,1
M,0.56,1000,0,7,0,1
M,0.99,1000,0,0,9,0
M,1,1000,0,0,22,0
M,0,1000,0,7,1,0
M,1.02,1000,0,0,0,1
M,0.85,1000,0,0,2,0
M,1.01,1000,0,1,6,0
M,1.02,1000,0,2,6,1
M,0.47,1000,0,0,4,0
M,0.94,1000,0,1,8,0
M,1.02,1000,0,4,8,0
M,1.12,1000,0,1,9,0
M,0.11,1000,0,0,4,0
M,1,1000,5705,0,11,0
M,0.02,1000,0,0,0,0
M,1,1000,0,17,10,1
M,1,1000,31189,0,18,0
M,1.11,1000,0,1,18,1
M,0.03,1000,144,0,1,0
M,1,1000,0,0,18,0
M,0.46,1000,0,0,1,0
M,1.01,1000,0,0,4,0
M,0.51,1000,0,3,4,0
M,1.31,1000,0,2,12,1
M,0.76,1000,2547,0,5,0
M,0.95,1000,0,6,1,1
M,1.01,1000,0,0,4,0
M,1.02,1000,1051,1,5,0
M,1,1000,1020,0,4,1
M,1,1000,0,1,15,0
M,0.56,1000,0,1,3,0
M,0.31,1000,0,4,4,0
M,0,1000,0,0,1,0
M,0.88,1000,0,3,4,1
